easting;northing;lat;long;elev;time;name
600169.930771445;6754171.08720343;60.9099749755;-139.1530010104;2371.752686;2016-05-08T22:43:56Z;235
600204.812609577;6754123.37634319;60.9095380269;-139.1523830127;2375.780029;2016-05-08T22:46:02Z;236
600240.111884587;6754074.44456916;60.9090900142;-139.1517579742;2380.516846;2016-05-08T22:47:54Z;237
600275.011347039;6754026.17437906;60.9086480364;-139.1511399765;2384.92749;2016-05-08T22:49:45Z;238
600456.822399409;6753904.81305711;60.9075129591;-139.1478530131;2405.17627;2016-05-08T22:58:12Z;239
600488.921247456;6753946.28776675;60.9078769851;-139.1472399607;2405.726807;2016-05-08T23:01:47Z;240
600511.964425027;6754002.65769138;60.9083769657;-139.1467859969;2406.435791;2016-05-08T23:04:00Z;241
600534.821441896;6754058.02305548;60.9088679776;-139.1463359725;2406.731934;2016-05-08T23:05:50Z;242
600557.029542189;6754113.14605926;60.9093569778;-139.145898018;2406.025635;2016-05-08T23:07:39Z;243
600579.577751379;6754169.7266968;60.90985897;-139.1454530228;2405.312744;2016-05-08T23:09:40Z;244
600602.089406025;6754225.64326933;60.910355011;-139.1450090334;2403.202637;2016-05-08T23:11:43Z;245
600624.075315366;6754280.98467728;60.9108460229;-139.1445750184;2401.04834;2016-05-08T23:13:49Z;246
600647.10484409;6754335.90743759;60.9113330115;-139.1441219766;2398.624756;2016-05-08T23:15:32Z;247
600637.795670212;6754482.52051627;60.9126509819;-139.1442170274;2387.359131;2016-05-08T23:23:55Z;248
600577.342641719;6754467.33039247;60.9125300311;-139.1453390289;2386.820801;2016-05-08T23:26:48Z;249
600517.766616866;6754457.62120916;60.9124580305;-139.1464420035;2384.710205;2016-05-08T23:28:32Z;250
600458.923213439;6754446.92492417;60.9123769775;-139.1475319862;2381.450439;2016-05-08T23:30:16Z;251
600400.700903885;6754437.25598673;60.912304977;-139.1486099828;2377.121094;2016-05-08T23:31:56Z;252
600341.301769619;6754426.89158771;60.9122270253;-139.1497100238;2372.276611;2016-05-08T23:33:30Z;253
600282.829704139;6754416.54500831;60.9121489897;-139.1507929657;2367.361816;2016-05-08T23:35:08Z;254
600223.683946592;6754406.85294959;60.9120769892;-139.1518879775;2364.287109;2016-05-08T23:36:44Z;255
600164.927737845;6754396.72450152;60.9120009653;-139.1529760323;2358.746338;2016-05-08T23:38:27Z;256
600104.500270942;6754386.33512723;60.9119230136;-139.1540950164;2353.938232;2016-05-08T23:40:00Z;257
600045.481618849;6754375.97710457;60.9118449781;-139.1551880166;2349.311279;2016-05-08T23:42:07Z;258
599986.668203084;6754366.07420801;60.9117709659;-139.1562769935;2342.669189;2016-05-08T23:44:19Z;259
599928.853271399;6754357.20917869;60.9117060062;-139.1573470272;2334.138916;2016-05-08T23:51:32Z;260
599869.067154095;6754345.16053102;60.911612967;-139.158455031;2327.827148;2016-05-08T23:53:32Z;261
599808.5681241;6754335.32534541;60.9115399607;-139.1595750209;2320.298096;2016-05-08T23:55:21Z;262
599749.589640158;6754325.43112225;60.9114660323;-139.1606670152;2315.220459;2016-05-08T23:57:55Z;263
599692.701337004;6754314.46627077;60.9113819618;-139.1617210396;2312.419922;2016-05-08T23:59:52Z;264
599631.9361362;6754304.52391114;60.9113080334;-139.1628459748;2312.678223;2016-05-09T00:04:24Z;265
